City_ID,name,lat,lon,temp_max,humidity,all,speed,country,dt
308,tannum sands,-23.9504,151.3693,297.09,73,56,4.12,AU,1709743422
309,nabire,-3.3667,135.4833,297.88,93,100,1.04,ID,1709743424
310,tazovsky,67.4667,78.7,257.3,95,99,5.34,RU,1709743142
311,acarau,-2.8856,-40.12,302.42,73,100,5.49,BR,1709743425
312,yantzaza,-3.8278,-78.7594,298.49,95,99,0.51,EC,1709743426
313,ketchikan,55.3422,-131.6461,273.9,74,100,7.72,US,1709743427
314,chegdomyn,51.1167,133.0167,250.4,100,89,0.82,RU,1709743428
315,mirny,62.5353,113.9611,246.86,100,96,1.2,RU,1709743428
316,filadelfia,39.9523,-75.1638,284.55,93,100,3.09,US,1709743429
317,thunder bay,48.4001,-89.3168,273.1,37,20,4.12,CA,1709743430
318,boguchany,58.3814,97.4531,267.51,96,100,2.24,RU,1709743431
319,wulingyuan,29.3494,110.5441,281.37,87,100,0.71,CN,1709743432
320,kapa'a,22.0752,-159.319,294.87,71,100,9.77,US,1709743433
321,mili,6.0815,171.735,300.89,80,99,10.21,MH,1709743433
322,porbandar,21.6422,69.6093,296.66,42,46,5.64,IN,1709743434
323,chul'man,56.8479,124.9104,250.1,100,100,0.73,RU,1709743435
324,saint-louis,16.3333,-15.0,312.95,6,70,3.89,SN,1709743436
325,sinjai,-5.1241,120.253,298.49,94,98,1.63,ID,1709743437
326,broken hill,-31.95,141.4333,299.67,19,76,4.14,AU,1709743438
327,vilyuysk,63.7553,121.6247,243.15,100,100,1.34,RU,1709743439
328,hithadhoo,-0.6,73.0833,301.35,74,83,4.66,MV,1709743155
329,aykhal,66.0,111.5,248.16,100,99,3.13,RU,1709743441
330,santiago de cao,-7.9589,-79.2392,296.22,88,20,4.12,PE,1709743160
331,fortuna,40.5982,-124.1573,282.79,96,100,1.33,US,1709743443
332,venice,27.0998,-82.4543,298.85,89,75,3.6,US,1709743443
333,banda aceh,5.5577,95.3222,300.24,80,96,3.11,ID,1709743246
334,naha,26.2125,127.6811,293.53,75,100,7.72,JP,1709743445
335,ixtapa,20.7,-105.2,302.61,20,29,2.15,MX,1709743446
336,chui,-33.6971,-53.4616,295.84,40,0,3.56,UY,1709743447
337,kapuskasing,49.4169,-82.4331,271.15,40,0,2.57,CA,1709743448
338,fort st. john,56.2499,-120.8529,254.09,78,20,2.57,CA,1709743448
339,aasiaat,68.7098,-52.8699,257.42,92,100,1.38,GL,1709743449
340,male,4.1748,73.5089,303.12,79,75,4.12,MV,1709743241
341,sisimiut,66.9395,-53.6735,257.68,90,97,4.01,GL,1709743451
342,weno,7.4515,151.8468,301.12,83,75,5.66,FM,1709743454
343,bamboo flat,11.7,92.7167,298.2,88,40,1.03,IN,1709743455
344,betio village,1.358,172.9211,300.17,81,100,7.76,KI,1709743456
345,an nuhud,12.7,28.4333,301.26,9,15,5.49,SD,1709743457
346,kailua-kona,19.6406,-155.9956,294.54,79,0,2.57,US,1709743458
347,yaren,-0.5472,166.916,301.62,79,100,7.26,NR,1709743257
348,beau vallon,-20.4189,57.6953,299.94,78,40,5.14,MU,1709743459
349,giovinazzo,41.1864,16.6674,288.31,66,40,3.09,IT,1709743223
350,new norfolk,-42.7826,147.0587,287.87,73,87,2.26,AU,1709743461
351,rio gallegos,-51.6226,-69.2181,284.18,62,20,12.35,AR,1709742917
352,vredendal,-31.6683,18.5012,294.01,45,41,6.35,ZA,1709743463
353,minab,27.1467,57.0801,294.48,67,0,1.41,IR,1709743463
354,recani,31.2846,-4.2688,296.5,13,0,7.09,MA,1709743464
355,turgen,43.4006,77.5933,269.22,83,98,1.49,KZ,1709743465
356,salalah,17.0151,54.0924,299.77,70,15,2.49,OM,1709743387
357,lihue,21.9789,-159.3672,294.46,72,100,9.77,US,1709743467
358,kone,-21.0595,164.8658,297.82,92,100,1.94,NC,1709743468
359,mount isa,-20.7333,139.5,296.02,83,79,0.0,AU,1709743469
360,san luis de la loma,17.2706,-100.8939,301.13,48,0,3.17,MX,1709743171
361,mount pearl,47.5166,-52.7813,278.33,98,100,8.23,CA,1709743470
362,vila velha,-20.3297,-40.2925,302.12,84,40,6.69,BR,1709743471
363,dorado,18.4588,-66.2677,304.15,72,40,6.17,PR,1709743472
364,ancud,-41.8697,-73.8203,287.1,60,28,3.33,CL,1709743473
365,bubaque,11.2833,-15.8333,299.1,67,0,8.48,GW,1709743474
